分类,标题第1行,标题第2行,直播时间,小标签内容,站内标,站外标
通识课程 - 用户运营,家享双11大促,"""快消新商促后日销运营提效_x000D_""_x000D_",9月23日 14:00-15:30,双11必修课,,"1"
行业课程 - 家享生活,家享双11大促,直播转化提效技巧,9月24日 14:00-15:30,,1,""
主题课程 - 双十一,店播“免费流量”获取,与付费推广/获客,9月24日,双11必修课,1,""
主题课程 - 双十一,家享店播,,,双11必修课,1,""
主题课程 - 平台工具,商品价格管理中心,使用指南,,,,
